Indicator,Group,State,Subgroup,Phase,Time Period,Time Period Label,Time Period Start Date,Time Period End Date,Value,Low CI,High CI,Confidence Interval,Quartile Range
"Delayed or Did Not Get Care, Last 4 Weeks",By State,Michigan,Michigan,1,12,July 16 - July 21,2020-07-16,2020-07-21,46.1,41.8,50.4,41.8 - 50.4,46.0-57.7
"Delayed or Did Not Get Care, Last 4 Weeks",By State,Minnesota,Minnesota,1,12,July 16 - July 21,2020-07-16,2020-07-21,43.3,38.1,48.5,38.1 - 48.5,40.9-43.8
"Delayed or Did Not Get Care, Last 4 Weeks",By State,Mississippi,Mississippi,1,12,July 16 - July 21,2020-07-16,2020-07-21,43.5,38.6,48.5,38.6 - 48.5,40.9-43.8
"Delayed or Did Not Get Care, Last 4 Weeks",By State,Missouri,Missouri,1,12,July 16 - July 21,2020-07-16,2020-07-21,43.8,38.9,48.7,38.9 - 48.7,40.9-43.8
"Delayed or Did Not Get Care, Last 4 Weeks",By State,Montana,Montana,1,12,July 16 - July 21,2020-07-16,2020-07-21,43.1,37.1,49.3,37.1 - 49.3,40.9-43.8
"Delayed or Did Not Get Care, Last 4 Weeks",By State,Nebraska,Nebraska,1,12,July 16 - July 21,2020-07-16,2020-07-21,36.3,32.2,40.5,32.2 - 40.5,35.6-40.8
"Delayed or Did Not Get Care, Last 4 Weeks",By State,Nevada,Nevada,1,12,July 16 - July 21,2020-07-16,2020-07-21,46.8,42.5,51.0,42.5 - 51.0,46.0-57.7
"Delayed or Did Not Get Care, Last 4 Weeks",By State,New Hampshire,New Hampshire,1,12,July 16 - July 21,2020-07-16,2020-07-21,40.8,35.5,46.2,35.5 - 46.2,35.6-40.8
"Delayed or Did Not Get Care, Last 4 Weeks",By State,New Jersey,New Jersey,1,12,July 16 - July 21,2020-07-16,2020-07-21,43.3,38.8,47.8,38.8 - 47.8,40.9-43.8
"Delayed or Did Not Get Care, Last 4 Weeks",By State,New Mexico,New Mexico,1,12,July 16 - July 21,2020-07-16,2020-07-21,52.2,46.2,58.1,46.2 - 58.1,46.0-57.7
"Delayed or Did Not Get Care, Last 4 Weeks",By State,New York,New York,1,12,July 16 - July 21,2020-07-16,2020-07-21,41.8,36.3,47.4,36.3 - 47.4,40.9-43.8
"Delayed or Did Not Get Care, Last 4 Weeks",By State,North Carolina,North Carolina,1,12,July 16 - July 21,2020-07-16,2020-07-21,37.0,32.6,41.6,32.6 - 41.6,35.6-40.8
"Delayed or Did Not Get Care, Last 4 Weeks",By State,North Dakota,North Dakota,1,12,July 16 - July 21,2020-07-16,2020-07-21,35.6,30.3,41.1,30.3 - 41.1,35.6-40.8
"Delayed or Did Not Get Care, Last 4 Weeks",By State,Ohio,Ohio,1,12,July 16 - July 21,2020-07-16,2020-07-21,44.4,39.6,49.3,39.6 - 49.3,43.9-45.9
"Delayed or Did Not Get Care, Last 4 Weeks",By State,Oklahoma,Oklahoma,1,12,July 16 - July 21,2020-07-16,2020-07-21,43.8,39.2,48.4,39.2 - 48.4,40.9-43.8
"Delayed or Did Not Get Care, Last 4 Weeks",By State,Oregon,Oregon,1,12,July 16 - July 21,2020-07-16,2020-07-21,51.0,46.4,55.6,46.4 - 55.6,46.0-57.7
"Delayed or Did Not Get Care, Last 4 Weeks",By State,Pennsylvania,Pennsylvania,1,12,July 16 - July 21,2020-07-16,2020-07-21,44.2,39.8,48.7,39.8 - 48.7,43.9-45.9
"Delayed or Did Not Get Care, Last 4 Weeks",By State,Rhode Island,Rhode Island,1,12,July 16 - July 21,2020-07-16,2020-07-21,40.2,33.8,46.8,33.8 - 46.8,35.6-40.8
"Delayed or Did Not Get Care, Last 4 Weeks",By State,South Carolina,South Carolina,1,12,July 16 - July 21,2020-07-16,2020-07-21,45.6,40.5,50.8,40.5 - 50.8,43.9-45.9
"Delayed or Did Not Get Care, Last 4 Weeks",By State,South Dakota,South Dakota,1,12,July 16 - July 21,2020-07-16,2020-07-21,40.5,33.1,48.1,33.1 - 48.1,35.6-40.8
"Delayed or Did Not Get Care, Last 4 Weeks",By State,Tennessee,Tennessee,1,12,July 16 - July 21,2020-07-16,2020-07-21,44.8,38.9,50.8,38.9 - 50.8,43.9-45.9
"Delayed or Did Not Get Care, Last 4 Weeks",By State,Texas,Texas,1,12,July 16 - July 21,2020-07-16,2020-07-21,45.8,41.9,49.6,41.9 - 49.6,43.9-45.9
"Delayed or Did Not Get Care, Last 4 Weeks",By State,Utah,Utah,1,12,July 16 - July 21,2020-07-16,2020-07-21,37.9,33.9,41.9,33.9 - 41.9,35.6-40.8
"Delayed or Did Not Get Care, Last 4 Weeks",By State,Vermont,Vermont,1,12,July 16 - July 21,2020-07-16,2020-07-21,45.7,39.8,51.7,39.8 - 51.7,43.9-45.9
"Delayed or Did Not Get Care, Last 4 Weeks",By State,Virginia,Virginia,1,12,July 16 - July 21,2020-07-16,2020-07-21,50.2,45.4,54.9,45.4 - 54.9,46.0-57.7
"Delayed or Did Not Get Care, Last 4 Weeks",By State,Washington,Washington,1,12,July 16 - July 21,2020-07-16,2020-07-21,51.5,47.1,56.0,47.1 - 56.0,46.0-57.7
"Delayed or Did Not Get Care, Last 4 Weeks",By State,West Virginia,West Virginia,1,12,July 16 - July 21,2020-07-16,2020-07-21,42.2,33.7,51.0,33.7 - 51.0,40.9-43.8
"Delayed or Did Not Get Care, Last 4 Weeks",By State,Wisconsin,Wisconsin,1,12,July 16 - July 21,2020-07-16,2020-07-21,39.2,34.6,44.1,34.6 - 44.1,35.6-40.8
"Delayed or Did Not Get Care, Last 4 Weeks",By State,Wyoming,Wyoming,1,12,July 16 - July 21,2020-07-16,2020-07-21,43.8,36.9,51.0,36.9 - 51.0,40.9-43.8
"Delayed or Did Not Get Care, Last 4 Weeks",National Estimate,United States,United States,2,13,Aug 19 - Aug 31,2020-08-19,2020-08-31,39.1,38.6,39.6,38.6 - 39.6,
"Delayed or Did Not Get Care, Last 4 Weeks",By Age,United States,18 - 29 years,2,13,Aug 19 - Aug 31,2020-08-19,2020-08-31,38.7,36.8,40.5,36.8 - 40.5,
"Delayed or Did Not Get Care, Last 4 Weeks",By Age,United States,30 - 39 years,2,13,Aug 19 - Aug 31,2020-08-19,2020-08-31,40.9,39.5,42.3,39.5 - 42.3,
"Delayed or Did Not Get Care, Last 4 Weeks",By Age,United States,40 - 49 years,2,13,Aug 19 - Aug 31,2020-08-19,2020-08-31,42.3,41.1,43.5,41.1 - 43.5,
"Delayed or Did Not Get Care, Last 4 Weeks",By Age,United States,50 - 59 years,2,13,Aug 19 - Aug 31,2020-08-19,2020-08-31,42.4,41.0,43.9,41.0 - 43.9,
"Delayed or Did Not Get Care, Last 4 Weeks",By Age,United States,60 - 69 years,2,13,Aug 19 - Aug 31,2020-08-19,2020-08-31,36.7,35.6,37.8,35.6 - 37.8,
"Delayed or Did Not Get Care, Last 4 Weeks",By Age,United States,70 - 79 years,2,13,Aug 19 - Aug 31,2020-08-19,2020-08-31,33.6,31.9,35.3,31.9 - 35.3,
"Delayed or Did Not Get Care, Last 4 Weeks",By Age,United States,80 years and above,2,13,Aug 19 - Aug 31,2020-08-19,2020-08-31,25.4,22.5,28.5,22.5 - 28.5,
"Delayed or Did Not Get Care, Last 4 Weeks",By Gender,United States,Male,2,13,Aug 19 - Aug 31,2020-08-19,2020-08-31,35.1,34.3,35.9,34.3 - 35.9,
"Delayed or Did Not Get Care, Last 4 Weeks",By Gender,United States,Female,2,13,Aug 19 - Aug 31,2020-08-19,2020-08-31,42.7,41.9,43.6,41.9 - 43.6,
"Delayed or Did Not Get Care, Last 4 Weeks",By Race/Hispanic ethnicity,United States,Hispanic or Latino,2,13,Aug 19 - Aug 31,2020-08-19,2020-08-31,42.5,40.7,44.4,40.7 - 44.4,
"Delayed or Did Not Get Care, Last 4 Weeks",By Race/Hispanic ethnicity,United States,"Non-Hispanic white, single race",2,13,Aug 19 - Aug 31,2020-08-19,2020-08-31,38.1,37.6,38.7,37.6 - 38.7,
"Delayed or Did Not Get Care, Last 4 Weeks",By Race/Hispanic ethnicity,United States,"Non-Hispanic black, single race",2,13,Aug 19 - Aug 31,2020-08-19,2020-08-31,40.3,38.3,42.2,38.3 - 42.2,
"Delayed or Did Not Get Care, Last 4 Weeks",By Race/Hispanic ethnicity,United States,"Non-Hispanic Asian, single race",2,13,Aug 19 - Aug 31,2020-08-19,2020-08-31,34.8,32.5,37.0,32.5 - 37.0,
"Delayed or Did Not Get Care, Last 4 Weeks",By Race/Hispanic ethnicity,United States,"Non-Hispanic, other races and multiple races",2,13,Aug 19 - Aug 31,2020-08-19,2020-08-31,44.4,41.5,47.3,41.5 - 47.3,
"Delayed or Did Not Get Care, Last 4 Weeks",By Education,United States,Less than a high school diploma,2,13,Aug 19 - Aug 31,2020-08-19,2020-08-31,41.6,38.5,44.6,38.5 - 44.6,
"Delayed or Did Not Get Care, Last 4 Weeks",By Education,United States,High school diploma or GED,2,13,Aug 19 - Aug 31,2020-08-19,2020-08-31,33.2,31.9,34.5,31.9 - 34.5,
"Delayed or Did Not Get Care, Last 4 Weeks",By Education,United States,Some college/Associate's degree,2,13,Aug 19 - Aug 31,2020-08-19,2020-08-31,41.7,40.9,42.5,40.9 - 42.5,
"Delayed or Did Not Get Care, Last 4 Weeks",By Education,United States,Bachelor's degree or higher,2,13,Aug 19 - Aug 31,2020-08-19,2020-08-31,41.5,40.8,42.2,40.8 - 42.2,
"Delayed or Did Not Get Care, Last 4 Weeks",By State,Alabama,Alabama,2,13,Aug 19 - Aug 31,2020-08-19,2020-08-31,36.9,32.7,41.3,32.7 - 41.3,35.5-37.2
"Delayed or Did Not Get Care, Last 4 Weeks",By State,Alaska,Alaska,2,13,Aug 19 - Aug 31,2020-08-19,2020-08-31,42.9,39.7,46.2,39.7 - 46.2,40.3-49.1
"Delayed or Did Not Get Care, Last 4 Weeks",By State,Arizona,Arizona,2,13,Aug 19 - Aug 31,2020-08-19,2020-08-31,42.0,38.7,45.4,38.7 - 45.4,40.3-49.1
"Delayed or Did Not Get Care, Last 4 Weeks",By State,Arkansas,Arkansas,2,13,Aug 19 - Aug 31,2020-08-19,2020-08-31,35.6,31.9,39.4,31.9 - 39.4,35.5-37.2
"Delayed or Did Not Get Care, Last 4 Weeks",By State,California,California,2,13,Aug 19 - Aug 31,2020-08-19,2020-08-31,42.9,40.5,45.3,40.5 - 45.3,40.3-49.1
"Delayed or Did Not Get Care, Last 4 Weeks",By State,Colorado,Colorado,2,13,Aug 19 - Aug 31,2020-08-19,2020-08-31,39.1,36.4,42.0,36.4 - 42.0,37.3-40.2
"Delayed or Did Not Get Care, Last 4 Weeks",By State,Connecticut,Connecticut,2,13,Aug 19 - Aug 31,2020-08-19,2020-08-31,40.6,36.5,44.7,36.5 - 44.7,40.3-49.1
"Delayed or Did Not Get Care, Last 4 Weeks",By State,Delaware,Delaware,2,13,Aug 19 - Aug 31,2020-08-19,2020-08-31,35.1,31.2,39.0,31.2 - 39.0,27.0-35.4
"Delayed or Did Not Get Care, Last 4 Weeks",By State,District of Columbia,District of Columbia,2,13,Aug 19 - Aug 31,2020-08-19,2020-08-31,49.1,43.8,54.5,43.8 - 54.5,40.3-49.1
"Delayed or Did Not Get Care, Last 4 Weeks",By State,Florida,Florida,2,13,Aug 19 - Aug 31,2020-08-19,2020-08-31,43.2,40.4,46.1,40.4 - 46.1,40.3-49.1
"Delayed or Did Not Get Care, Last 4 Weeks",By State,Georgia,Georgia,2,13,Aug 19 - Aug 31,2020-08-19,2020-08-31,39.6,36.7,42.6,36.7 - 42.6,37.3-40.2
"Delayed or Did Not Get Care, Last 4 Weeks",By State,Hawaii,Hawaii,2,13,Aug 19 - Aug 31,2020-08-19,2020-08-31,43.5,39.1,47.9,39.1 - 47.9,40.3-49.1
"Delayed or Did Not Get Care, Last 4 Weeks",By State,Idaho,Idaho,2,13,Aug 19 - Aug 31,2020-08-19,2020-08-31,31.5,28.0,35.2,28.0 - 35.2,27.0-35.4
"Delayed or Did Not Get Care, Last 4 Weeks",By State,Illinois,Illinois,2,13,Aug 19 - Aug 31,2020-08-19,2020-08-31,39.0,35.7,42.5,35.7 - 42.5,37.3-40.2
"Delayed or Did Not Get Care, Last 4 Weeks",By State,Indiana,Indiana,2,13,Aug 19 - Aug 31,2020-08-19,2020-08-31,37.4,34.1,40.9,34.1 - 40.9,37.3-40.2
"Delayed or Did Not Get Care, Last 4 Weeks",By State,Iowa,Iowa,2,13,Aug 19 - Aug 31,2020-08-19,2020-08-31,35.4,32.4,38.6,32.4 - 38.6,27.0-35.4
"Delayed or Did Not Get Care, Last 4 Weeks",By State,Kansas,Kansas,2,13,Aug 19 - Aug 31,2020-08-19,2020-08-31,34.9,31.6,38.3,31.6 - 38.3,27.0-35.4
"Delayed or Did Not Get Care, Last 4 Weeks",By State,Kentucky,Kentucky,2,13,Aug 19 - Aug 31,2020-08-19,2020-08-31,36.7,32.5,40.9,32.5 - 40.9,35.5-37.2
"Delayed or Did Not Get Care, Last 4 Weeks",By State,Louisiana,Louisiana,2,13,Aug 19 - Aug 31,2020-08-19,2020-08-31,36.5,32.7,40.5,32.7 - 40.5,35.5-37.2
"Delayed or Did Not Get Care, Last 4 Weeks",By State,Maine,Maine,2,13,Aug 19 - Aug 31,2020-08-19,2020-08-31,45.1,40.0,50.3,40.0 - 50.3,40.3-49.1
"Delayed or Did Not Get Care, Last 4 Weeks",By State,Maryland,Maryland,2,13,Aug 19 - Aug 31,2020-08-19,2020-08-31,42.4,38.3,46.7,38.3 - 46.7,40.3-49.1
"Delayed or Did Not Get Care, Last 4 Weeks",By State,Massachusetts,Massachusetts,2,13,Aug 19 - Aug 31,2020-08-19,2020-08-31,43.3,40.8,45.8,40.8 - 45.8,40.3-49.1
"Delayed or Did Not Get Care, Last 4 Weeks",By State,Michigan,Michigan,2,13,Aug 19 - Aug 31,2020-08-19,2020-08-31,40.2,36.7,43.9,36.7 - 43.9,37.3-40.2
"Delayed or Did Not Get Care, Last 4 Weeks",By State,Minnesota,Minnesota,2,13,Aug 19 - Aug 31,2020-08-19,2020-08-31,37.5,34.3,40.9,34.3 - 40.9,37.3-40.2
"Delayed or Did Not Get Care, Last 4 Weeks",By State,Mississippi,Mississippi,2,13,Aug 19 - Aug 31,2020-08-19,2020-08-31,36.2,31.8,40.7,31.8 - 40.7,35.5-37.2
"Delayed or Did Not Get Care, Last 4 Weeks",By State,Missouri,Missouri,2,13,Aug 19 - Aug 31,2020-08-19,2020-08-31,35.8,32.6,39.0,32.6 - 39.0,35.5-37.2
"Delayed or Did Not Get Care, Last 4 Weeks",By State,Montana,Montana,2,13,Aug 19 - Aug 31,2020-08-19,2020-08-31,32.3,28.7,36.0,28.7 - 36.0,27.0-35.4
"Delayed or Did Not Get Care, Last 4 Weeks",By State,Nebraska,Nebraska,2,13,Aug 19 - Aug 31,2020-08-19,2020-08-31,33.6,29.8,37.5,29.8 - 37.5,27.0-35.4
"Delayed or Did Not Get Care, Last 4 Weeks",By State,Nevada,Nevada,2,13,Aug 19 - Aug 31,2020-08-19,2020-08-31,39.6,36.6,42.6,36.6 - 42.6,37.3-40.2
"Delayed or Did Not Get Care, Last 4 Weeks",By State,New Hampshire,New Hampshire,2,13,Aug 19 - Aug 31,2020-08-19,2020-08-31,35.4,30.9,40.1,30.9 - 40.1,27.0-35.4
"Delayed or Did Not Get Care, Last 4 Weeks",By State,New Jersey,New Jersey,2,13,Aug 19 - Aug 31,2020-08-19,2020-08-31,40.1,37.0,43.3,37.0 - 43.3,37.3-40.2
"Delayed or Did Not Get Care, Last 4 Weeks",By State,New Mexico,New Mexico,2,13,Aug 19 - Aug 31,2020-08-19,2020-08-31,44.1,39.2,49.1,39.2 - 49.1,40.3-49.1
"Delayed or Did Not Get Care, Last 4 Weeks",By State,New York,New York,2,13,Aug 19 - Aug 31,2020-08-19,2020-08-31,38.9,35.5,42.3,35.5 - 42.3,37.3-40.2
"Delayed or Did Not Get Care, Last 4 Weeks",By State,North Carolina,North Carolina,2,13,Aug 19 - Aug 31,2020-08-19,2020-08-31,36.0,32.5,39.5,32.5 - 39.5,35.5-37.2
"Delayed or Did Not Get Care, Last 4 Weeks",By State,North Dakota,North Dakota,2,13,Aug 19 - Aug 31,2020-08-19,2020-08-31,28.7,24.2,33.6,24.2 - 33.6,27.0-35.4
"Delayed or Did Not Get Care, Last 4 Weeks",By State,Ohio,Ohio,2,13,Aug 19 - Aug 31,2020-08-19,2020-08-31,35.4,32.0,38.9,32.0 - 38.9,27.0-35.4
"Delayed or Did Not Get Care, Last 4 Weeks",By State,Oklahoma,Oklahoma,2,13,Aug 19 - Aug 31,2020-08-19,2020-08-31,36.4,32.6,40.3,32.6 - 40.3,35.5-37.2
"Delayed or Did Not Get Care, Last 4 Weeks",By State,Oregon,Oregon,2,13,Aug 19 - Aug 31,2020-08-19,2020-08-31,41.8,39.3,44.3,39.3 - 44.3,40.3-49.1
"Delayed or Did Not Get Care, Last 4 Weeks",By State,Pennsylvania,Pennsylvania,2,13,Aug 19 - Aug 31,2020-08-19,2020-08-31,37.7,34.7,40.7,34.7 - 40.7,37.3-40.2
"Delayed or Did Not Get Care, Last 4 Weeks",By State,Rhode Island,Rhode Island,2,13,Aug 19 - Aug 31,2020-08-19,2020-08-31,37.2,32.5,42.2,32.5 - 42.2,35.5-37.2
"Delayed or Did Not Get Care, Last 4 Weeks",By State,South Carolina,South Carolina,2,13,Aug 19 - Aug 31,2020-08-19,2020-08-31,31.3,28.2,34.7,28.2 - 34.7,27.0-35.4
"Delayed or Did Not Get Care, Last 4 Weeks",By State,South Dakota,South Dakota,2,13,Aug 19 - Aug 31,2020-08-19,2020-08-31,27.0,22.9,31.4,22.9 - 31.4,27.0-35.4
"Delayed or Did Not Get Care, Last 4 Weeks",By State,Tennessee,Tennessee,2,13,Aug 19 - Aug 31,2020-08-19,2020-08-31,36.3,33.1,39.5,33.1 - 39.5,35.5-37.2
"Delayed or Did Not Get Care, Last 4 Weeks",By State,Texas,Texas,2,13,Aug 19 - Aug 31,2020-08-19,2020-08-31,39.8,37.6,42.1,37.6 - 42.1,37.3-40.2
"Delayed or Did Not Get Care, Last 4 Weeks",By State,Utah,Utah,2,13,Aug 19 - Aug 31,2020-08-19,2020-08-31,32.7,30.0,35.5,30.0 - 35.5,27.0-35.4
"Delayed or Did Not Get Care, Last 4 Weeks",By State,Vermont,Vermont,2,13,Aug 19 - Aug 31,2020-08-19,2020-08-31,35.5,30.3,40.9,30.3 - 40.9,35.5-37.2
"Delayed or Did Not Get Care, Last 4 Weeks",By State,Virginia,Virginia,2,13,Aug 19 - Aug 31,2020-08-19,2020-08-31,38.4,35.1,41.7,35.1 - 41.7,37.3-40.2
"Delayed or Did Not Get Care, Last 4 Weeks",By State,Washington,Washington,2,13,Aug 19 - Aug 31,2020-08-19,2020-08-31,40.0,37.3,42.8,37.3 - 42.8,37.3-40.2
"Delayed or Did Not Get Care, Last 4 Weeks",By State,West Virginia,West Virginia,2,13,Aug 19 - Aug 31,2020-08-19,2020-08-31,33.2,28.5,38.2,28.5 - 38.2,27.0-35.4
"Delayed or Did Not Get Care, Last 4 Weeks",By State,Wisconsin,Wisconsin,2,13,Aug 19 - Aug 31,2020-08-19,2020-08-31,35.0,31.7,38.5,31.7 - 38.5,27.0-35.4
"Delayed or Did Not Get Care, Last 4 Weeks",By State,Wyoming,Wyoming,2,13,Aug 19 - Aug 31,2020-08-19,2020-08-31,31.4,26.8,36.3,26.8 - 36.3,27.0-35.4
"Delayed or Did Not Get Care, Last 4 Weeks",National Estimate,United States,United States,2,14,Sep 2 - Sep 14,2020-09-02,2020-09-14,37.7,36.9,38.5,36.9 - 38.5,
"Delayed or Did Not Get Care, Last 4 Weeks",By Age,United States,18 - 29 years,2,14,Sep 2 - Sep 14,2020-09-02,2020-09-14,36.8,35.1,38.6,35.1 - 38.6,
"Delayed or Did Not Get Care, Last 4 Weeks",By Age,United States,30 - 39 years,2,14,Sep 2 - Sep 14,2020-09-02,2020-09-14,40.8,39.2,42.4,39.2 - 42.4,
"Delayed or Did Not Get Care, Last 4 Weeks",By Age,United States,40 - 49 years,2,14,Sep 2 - Sep 14,2020-09-02,2020-09-14,40.9,39.4,42.4,39.4 - 42.4,
"Delayed or Did Not Get Care, Last 4 Weeks",By Age,United States,50 - 59 years,2,14,Sep 2 - Sep 14,2020-09-02,2020-09-14,39.4,38.1,40.8,38.1 - 40.8,
"Delayed or Did Not Get Care, Last 4 Weeks",By Age,United States,60 - 69 years,2,14,Sep 2 - Sep 14,2020-09-02,2020-09-14,36.0,34.5,37.5,34.5 - 37.5,
"Delayed or Did Not Get Care, Last 4 Weeks",By Age,United States,70 - 79 years,2,14,Sep 2 - Sep 14,2020-09-02,2020-09-14,30.7,28.8,32.6,28.8 - 32.6,
"Delayed or Did Not Get Care, Last 4 Weeks",By Age,United States,80 years and above,2,14,Sep 2 - Sep 14,2020-09-02,2020-09-14,27.9,23.3,33.0,23.3 - 33.0,
"Delayed or Did Not Get Care, Last 4 Weeks",By Gender,United States,Male,2,14,Sep 2 - Sep 14,2020-09-02,2020-09-14,34.2,33.1,35.4,33.1 - 35.4,
"Delayed or Did Not Get Care, Last 4 Weeks",By Gender,United States,Female,2,14,Sep 2 - Sep 14,2020-09-02,2020-09-14,40.9,39.9,41.8,39.9 - 41.8,
"Delayed or Did Not Get Care, Last 4 Weeks",By Race/Hispanic ethnicity,United States,Hispanic or Latino,2,14,Sep 2 - Sep 14,2020-09-02,2020-09-14,40.9,38.5,43.4,38.5 - 43.4,
"Delayed or Did Not Get Care, Last 4 Weeks",By Race/Hispanic ethnicity,United States,"Non-Hispanic white, single race",2,14,Sep 2 - Sep 14,2020-09-02,2020-09-14,36.2,35.4,37.1,35.4 - 37.1,
"Delayed or Did Not Get Care, Last 4 Weeks",By Race/Hispanic ethnicity,United States,"Non-Hispanic black, single race",2,14,Sep 2 - Sep 14,2020-09-02,2020-09-14,38.3,36.3,40.4,36.3 - 40.4,
"Delayed or Did Not Get Care, Last 4 Weeks",By Race/Hispanic ethnicity,United States,"Non-Hispanic Asian, single race",2,14,Sep 2 - Sep 14,2020-09-02,2020-09-14,38.7,36.5,41.0,36.5 - 41.0,
"Delayed or Did Not Get Care, Last 4 Weeks",By Race/Hispanic ethnicity,United States,"Non-Hispanic, other races and multiple races",2,14,Sep 2 - Sep 14,2020-09-02,2020-09-14,45.9,42.6,49.3,42.6 - 49.3,
"Delayed or Did Not Get Care, Last 4 Weeks",By Education,United States,Less than a high school diploma,2,14,Sep 2 - Sep 14,2020-09-02,2020-09-14,36.6,32.6,40.7,32.6 - 40.7,
"Delayed or Did Not Get Care, Last 4 Weeks",By Education,United States,High school diploma or GED,2,14,Sep 2 - Sep 14,2020-09-02,2020-09-14,33.2,31.5,35.0,31.5 - 35.0,
"Delayed or Did Not Get Care, Last 4 Weeks",By Education,United States,Some college/Associate's degree,2,14,Sep 2 - Sep 14,2020-09-02,2020-09-14,40.3,39.3,41.3,39.3 - 41.3,
"Delayed or Did Not Get Care, Last 4 Weeks",By Education,United States,Bachelor's degree or higher,2,14,Sep 2 - Sep 14,2020-09-02,2020-09-14,39.5,39.0,40.0,39.0 - 40.0,
"Delayed or Did Not Get Care, Last 4 Weeks",By State,Alabama,Alabama,2,14,Sep 2 - Sep 14,2020-09-02,2020-09-14,36.1,32.3,40.0,32.3 - 40.0,33.7-36.3
"Delayed or Did Not Get Care, Last 4 Weeks",By State,Alaska,Alaska,2,14,Sep 2 - Sep 14,2020-09-02,2020-09-14,36.0,33.3,38.7,33.3 - 38.7,33.7-36.3
"Delayed or Did Not Get Care, Last 4 Weeks",By State,Arizona,Arizona,2,14,Sep 2 - Sep 14,2020-09-02,2020-09-14,39.5,36.2,42.8,36.2 - 42.8,36.4-39.5
"Delayed or Did Not Get Care, Last 4 Weeks",By State,Arkansas,Arkansas,2,14,Sep 2 - Sep 14,2020-09-02,2020-09-14,31.9,27.8,36.2,27.8 - 36.2,27.2-33.6
"Delayed or Did Not Get Care, Last 4 Weeks",By State,California,California,2,14,Sep 2 - Sep 14,2020-09-02,2020-09-14,44.1,41.4,46.9,41.4 - 46.9,39.6-47.4
"Delayed or Did Not Get Care, Last 4 Weeks",By State,Colorado,Colorado,2,14,Sep 2 - Sep 14,2020-09-02,2020-09-14,37.9,34.9,40.9,34.9 - 40.9,36.4-39.5
"Delayed or Did Not Get Care, Last 4 Weeks",By State,Connecticut,Connecticut,2,14,Sep 2 - Sep 14,2020-09-02,2020-09-14,36.3,33.3,39.5,33.3 - 39.5,33.7-36.3
"Delayed or Did Not Get Care, Last 4 Weeks",By State,Delaware,Delaware,2,14,Sep 2 - Sep 14,2020-09-02,2020-09-14,39.6,34.2,45.1,34.2 - 45.1,39.6-47.4
"Delayed or Did Not Get Care, Last 4 Weeks",By State,District of Columbia,District of Columbia,2,14,Sep 2 - Sep 14,2020-09-02,2020-09-14,47.4,40.9,53.9,40.9 - 53.9,39.6-47.4
"Delayed or Did Not Get Care, Last 4 Weeks",By State,Florida,Florida,2,14,Sep 2 - Sep 14,2020-09-02,2020-09-14,35.7,32.6,39.0,32.6 - 39.0,33.7-36.3
"Delayed or Did Not Get Care, Last 4 Weeks",By State,Georgia,Georgia,2,14,Sep 2 - Sep 14,2020-09-02,2020-09-14,37.7,34.3,41.3,34.3 - 41.3,36.4-39.5
"Delayed or Did Not Get Care, Last 4 Weeks",By State,Hawaii,Hawaii,2,14,Sep 2 - Sep 14,2020-09-02,2020-09-14,39.7,34.5,45.1,34.5 - 45.1,39.6-47.4
"Delayed or Did Not Get Care, Last 4 Weeks",By State,Idaho,Idaho,2,14,Sep 2 - Sep 14,2020-09-02,2020-09-14,35.9,31.6,40.4,31.6 - 40.4,33.7-36.3
"Delayed or Did Not Get Care, Last 4 Weeks",By State,Illinois,Illinois,2,14,Sep 2 - Sep 14,2020-09-02,2020-09-14,36.3,32.9,39.9,32.9 - 39.9,33.7-36.3
"Delayed or Did Not Get Care, Last 4 Weeks",By State,Indiana,Indiana,2,14,Sep 2 - Sep 14,2020-09-02,2020-09-14,37.4,34.7,40.2,34.7 - 40.2,36.4-39.5
"Delayed or Did Not Get Care, Last 4 Weeks",By State,Iowa,Iowa,2,14,Sep 2 - Sep 14,2020-09-02,2020-09-14,31.3,27.9,34.8,27.9 - 34.8,27.2-33.6
"Delayed or Did Not Get Care, Last 4 Weeks",By State,Kansas,Kansas,2,14,Sep 2 - Sep 14,2020-09-02,2020-09-14,31.7,28.3,35.2,28.3 - 35.2,27.2-33.6
"Delayed or Did Not Get Care, Last 4 Weeks",By State,Kentucky,Kentucky,2,14,Sep 2 - Sep 14,2020-09-02,2020-09-14,38.6,35.0,42.2,35.0 - 42.2,36.4-39.5
"Delayed or Did Not Get Care, Last 4 Weeks",By State,Louisiana,Louisiana,2,14,Sep 2 - Sep 14,2020-09-02,2020-09-14,38.7,34.1,43.6,34.1 - 43.6,36.4-39.5
"Delayed or Did Not Get Care, Last 4 Weeks",By State,Maine,Maine,2,14,Sep 2 - Sep 14,2020-09-02,2020-09-14,39.1,33.3,45.0,33.3 - 45.0,36.4-39.5
"Delayed or Did Not Get Care, Last 4 Weeks",By State,Maryland,Maryland,2,14,Sep 2 - Sep 14,2020-09-02,2020-09-14,40.8,37.5,44.2,37.5 - 44.2,39.6-47.4
"Delayed or Did Not Get Care, Last 4 Weeks",By State,Massachusetts,Massachusetts,2,14,Sep 2 - Sep 14,2020-09-02,2020-09-14,39.7,36.4,43.1,36.4 - 43.1,39.6-47.4
"Delayed or Did Not Get Care, Last 4 Weeks",By State,Michigan,Michigan,2,14,Sep 2 - Sep 14,2020-09-02,2020-09-14,37.8,34.4,41.4,34.4 - 41.4,36.4-39.5
